candidate_id,classification,baseline_passing_samples,relaxed_regime_threshold_samples,alternate_regime_label_samples,no_regime_filter_samples,matching_timeframe_only_assessment
ptc_backtest_final_469607b8340421b7,REGIME_LABEL_MISMATCH,0,208,146,1049,DAILY_COMPONENT_AVAILABLE_OPTIONAL_INTRADAY_CONFIRMATION_UNRESOLVED
ptc_backtest_final_3a4ac24107c77136,REGIME_LABEL_MISMATCH,0,208,146,1049,DAILY_COMPONENT_AVAILABLE_OPTIONAL_INTRADAY_CONFIRMATION_UNRESOLVED
ptc_backtest_final_d5931b24bd391113,TIMEFRAME_REGIME_MISMATCH,0,75,49,503,INTRADAY_REQUIRED_DAILY_PROXY_INSUFFICIENT
ptc_backtest_final_7d839944a8a4070a,REGIME_LABEL_MISMATCH,0,38,27,176,DAILY_COMPONENT_AVAILABLE_OPTIONAL_INTRADAY_CONFIRMATION_UNRESOLVED
ptc_backtest_final_b23c6756bfb3263a,REGIME_LABEL_MISMATCH,0,57,28,626,DAILY_COMPONENT_AVAILABLE_OPTIONAL_INTRADAY_CONFIRMATION_UNRESOLVED
